rowMeans.combined_temp..na.rm...TRUE.,Year
19.736123445945942,2006
20.64472783783783,2006
24.93464344594595,2006
21.21723135135136,2006
22.259897837837837,2006
25.98597574324324,2006
26.494113918918917,2006
24.39508986486486,2006
21.963353108108112,2006
21.339372162162164,2006
22.464358310810816,2006
21.580758851351348,2006
20.708511824324333,2006
24.816792567567568,2006
22.734934189189197,2006
17.062037500000002,2006
14.637931689189193,2006
15.970237162162162,2006
17.84428364864865,2006
16.982603040540532,2006
16.809459121621625,2006
18.92969364864866,2006
19.0368647972973,2006
22.362551756756755,2006
24.54348878378379,2006
19.153763040540547,2006
17.880945405405406,2006
18.124676283783774,2006
18.164351891891897,2006
19.059135945945943,2006
23.088562432432436,2006
20.727682094594595,2006
20.99283662162163,2006
22.486514256756756,2006
24.080172094594595,2006
25.74040283783784,2006
23.300692027027036,2006
23.6476816891892,2006
26.404746351351346,2006
28.559310608108103,2006
23.847013445945947,2006
23.47503864864865,2006
23.302470202702704,2006
24.74892290540541,2006
25.120520945945948,2006
24.546953716216215,2006
24.351164054054053,2006
18.3116747972973,2006
17.482692094594587,2006
17.9974302027027,2006
17.427429594594596,2006
17.54341797297297,2006
17.530992972972967,2006
19.977774121621625,2006
23.196257837837837,2006
24.35977851351352,2006
25.211744054054055,2006
28.221978040540534,2006
26.792597837837832,2006
26.67471405405405,2006
23.241831486486475,2006
24.754623108108113,2006
25.57053601351351,2006
21.625983581081083,2006
25.942730270270268,2006
24.684861148648643,2006
24.388495135135145,2006
18.337633716216217,2006
19.295656891891884,2006
17.27740002027027,2006
7.509884601351351,2006
12.78801808108108,2006
16.45292932432432,2006
21.68488716216216,2006
22.09801371621621,2006
23.295006824324336,2006
24.655602499999997,2006
18.497050810810812,2006
11.772701263513516,2006
16.07123520945946,2006
17.44530236486486,2006
19.078439121621617,2006
25.453813648648648,2006
26.885143445945957,2006
28.88029391891891,2006
27.0209612837838,2006
25.63628689189189,2006
24.478917500000005,2006
23.303156891891884,2006
22.142820675675672,2006
24.391660405405418,2006
23.756739121621617,2006
26.71286635135135,2006
29.74214337837839,2006
28.01438047297296,2006
22.19669804054054,2006
20.727771621621613,2006
26.068623243243245,2006
29.83732121621623,2006
30.32595716216218,2006
25.44076391891891,2006
26.647268175675674,2006
32.299074594594586,2006
34.34189689189189,2006
32.13690756756755,2006
25.338052500000003,2006
28.674805540540536,2006
27.71679006756756,2006
27.684643783783773,2006
29.525195337837836,2006
31.09961601351351,2006
32.732159459459474,2006
32.23939108108108,2006
25.242369459459457,2006
25.957611756756748,2006
29.28067351351352,2006
31.82227972972971,2006
23.882705743243235,2006
23.84380756756757,2006
29.652757499999996,2006
34.327294121621605,2006
36.167289864864856,2006
35.587774932432445,2006
33.870666148648645,2006
32.61752155405406,2006
29.67072675675674,2006
31.659936959459476,2006
33.19429905405404,2006
34.23974736486487,2006
34.15585101351351,2006
35.98485608108107,2006
36.90902695945946,2006
