rowMeans.combined_p..na.rm...TRUE.,Year
1.7377864298595418e-5,2006
1.7377864298595418e-5,2006
1.7377864298595418e-5,2006
1.7377864298595418e-5,2006
1.7377864298595418e-5,2006
1.7377864298595418e-5,2006
1.7377864298595418e-5,2006
1.7377864298595418e-5,2006
1.7377864298595418e-5,2006
1.7377864298595418e-5,2006
1.7377864298595418e-5,2006
1.582843712445303e-5,2006
0,2006
0,2006
0,2006
0,2006
0,2006
0,2006
0,2006
0,2006
0,2006
0,2006
0,2006
0,2006
1.0953378494086758e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.09171640316054e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
6.10902936785425e-4,2006
5.013691518445574e-4,2006
1.7312964693709907e-6,2006
1.7312964693709907e-6,2006
2.1493429470413665e-5,2006
6.744889324334655e-5,2006
6.744889324334655e-5,2006
6.744889324334655e-5,2006
6.744889324334655e-5,2006
6.744889324334655e-5,2006
1.3693418455734886e-4,2006
1.3693418455734886e-4,2006
3.166568771414407e-4,2006
5.909673966410656e-4,2006
0.0011840555673478942,2006
0.06045285846545323,2006
0.7061293866537939,2006
0.7102265487819626,2006
0.7102284702346539,2006
0.7102284702346539,2006
0.7102284702346539,2006
0.7102284702346539,2006
0.7102284702346539,2006
0.711104452181897,2006
0.774468507839499,2006
0.7748479515606086,2006
0.7937840790296796,2006
0.7937855655161815,2006
0.7937855655161815,2006
0.7937855655161815,2006
0.7937855655161815,2006
0.7937906706211727,2006
0.7940923522205777,2006
0.7947009842144965,2006
0.7954661631526875,2006
0.7954464010196864,2006
0.7954811435495872,2006
0.7954811435495872,2006
0.7955027893255885,2006
0.7955809004014736,2006
0.7968867291084626,2006
0.8009189697513984,2006
0.8009191782126995,2006
0.8007394555201156,2006
0.800465145000616,2006
0.7998720568299091,2006
0.7406032539318044,2006
0.09492672574346404,2006
0.09082783231882571,2006
0.09082591086613452,2006
0.09082591086613452,2006
0.09082591086613452,2006
0.09082592622239952,2006
0.09082592622239952,2006
0.08994994427515604,2006
0.02658588861755396,2006
0.02620644489644434,2006
0.007270317427373336,2006
0.007268830940871305,2006
0.007268830940871305,2006
0.007268830940871305,2006
0.007268830940871305,2006
0.007325391583899406,2006
0.007884585960572168,2006
0.007395723169988906,2006
0.006630544231797659,2006
0.006630544231797659,2006
0.006549846238124032,2006
0.006549846238124032,2006
0.006528200462122799,2006
0.006450089386237805,2006
0.005144260679248746,2006
0.0010425347449990008,2006
0.0010423262836976588,2006
0.0010423262836976588,2006
0.0010423262836976588,2006
0.0010423262836976588,2006
0.0010423262836976588,2006
0.0010423262836976588,2006
0.0010423262836976588,2006
0.0011164038386325091,2006
0.0013657388164970005,2006
0.010230796474428957,2006
0.01056772023513553,2006
0.01056772023513553,2006
0.01056772023513553,2006
0.01056772023513553,2006
0.01056772023513553,2006
0.010663469979091006,2006
0.010663469979091006,2006
0.010663469979091006,2006
0.010663469979091006,2006
0.010663469979091006,2006
0.010601804231071908,2006
0.00974092825499389,2006
0.00962115905165836,2006
0.00962115905165836,2006
0.00962115905165836,2006
0.009648360182035676,2006
0.009648360182035676,2006
0.009648360182035676,2006
0.009648360182035676,2006
0.009648360182035676,2006
0.011334007157221724,2006
0.025151369897591334,2006
0.02533124109488028,2006
0.02533124109488028,2006
0.02533124109488028,2006
0.02533124109488028,2006
0.02533124109488028,2006
0.02533124109488028,2006
0.025257163539945428,2006
0.02500782856208094,2006
0.016142770904148986,2006
0.015805831787177392,2006
0.015805831787177392,2006
0.015805831787177392,2006
0.015805831787177392,2006
0.015805831787177392,2006
0.015710082043221916,2006
0.015710082043221916,2006
0.015785017400433938,2006
0.0174537231880356,2006
0.018889073411961256,2006
0.021350100675670988,2006
0.021350159029480325,2006
0.0266506851049546,2006
0.033237616945838204,2006
0.03447971834663744,2006
0.0348844787311697,2006
0.03499176831232853,2006
0.04980839721486114,2006
0.061060572931362855,2006
